#;#;#;OPERATOR:1;OPERATOR:1;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;19;19;19;20;21;21;22;22;22;22
#;#;#;X-axis rotation angle;Y-axis rotation angle;a0;ax;ax2;ax3;ay;axy;ax2y;ay2;axy2;ay3;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Sq;Ssk;Sku;Sp;Sv;Sz;Sa;Smr (c = 1000 nm below highest peak);Smc (p = 10.00%);Sxp (p = 50.00%, q = 97.50%);Sal (s = 0.2000);Str (s = 0.2000);Std (Reference angle = 0.000°);Sdq;Sdr;Vm (p = 10.00%);Vv (p = 10.00%);Vmp (p = 10.00%);Vmc (p = 10.00%, q = 80.00%);Vvc (p = 10.00%, q = 80.00%);Vvv (p = 80.00%);Maximum depth of furrows;Mean depth of furrows;Mean density of furrows;First direction;Second direction;Third direction;Isotropy;Length-scale anisotropy (Sfrax) (epLsar);Length-scale anisotropy (NewEplsar);Fractal complexity (Asfc);Scale of max complexity (Smfc);HAsfc9 (HAsfc9);HAsfc81 (HAsfc81)
#;#;#;°;°;nm;nm;nm;nm;nm;nm;nm;nm;nm;nm;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;nm;<no unit>;<no unit>;nm;nm;nm;nm;%;nm;nm;µm;<no unit>;°;<no unit>;%;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;nm;nm;cm/cm2;°;°;°;%;<no unit>;<no unit>;<no unit>;µm²;<no unit>;<no unit>
03.09.2020;14:18:12;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-013 - R-013_C1-02-b_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:18:36;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-013 - R-013_C1-02-c_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:19:00;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-013 - R-013_C3-01-a_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:19:24;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-013 - R-013_C3-01-b_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:19:48;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-013 - R-013_C3-01-c_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:20:11;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-020 - R-020_C2-01-a_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:20:35;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-020 - R-020_C2-01-b_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:20:58;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-020 - R-020_C2-01-c_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:21:22;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-020 - R-020_C3-01-a_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:21:47;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-020 - R-020_C3-01-b_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
03.09.2020;14:22:11;E:\USE-WEAR\archaeology\RAMIOUL\ConfoMap\R_pro ---  -  - USE-WEAR - archaeology - RAMIOUL - ConfoMap - R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-020 - R-020_C3-01-c_50x09_LSM_Topo.mnt;0,694920518;2,627071571;1672,074411;-3,802595656;0,010569345;-9,36E-06;-7,303528796;0,004108866;3,14E-06;0,00761333;-3,12E-06;-2,74E-06;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20213,11055;66293;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10441,79904;34246;0,304905655;0;R_50x_res ---  -  - Users - schunk - Documents - USE-WEAR - RAMIOUL - LSM - R-002 - R-002_A1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 09:56;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6777,412398;222279;0,030490565;0;965,6698832;0,223698651;3,305367398;2982,770056;3794,642342;6777,412398;753,1662694;3,36939136;1286,370713;1714,056906;20,8354156;0,286866253;98,49823473;0,18024731;1,545220979;0,056528148;1,342889309;0,056528148;0,838905952;1,242258083;0,100631226;4680,149344;1003,094218;2236,279395;135,014308;90,00996958;153,4974777;53,47867338;0,003935162;0,018107507;2,288328872;9,024672658;0,215684673;0,447530274
